Constituency,State,MP,Party,Year,,,,,,,,,,,
MANDYA,Karnataka, G. MADEGOWDA,INC,1993,,,,,,,,,,,
MANGALORE,Karnataka, V. DHANANJAYA KUMAR,BJP,1993,,,,,,,,,,,
MYSORE,Karnataka, CHANDRAPRABHA URS (W),INC,1993,,,,,,,,,,,
RAICHUR,Karnataka, VENKATESH NAIK,INC,1993,,,,,,,,,,,
SHIMOGA,Karnataka, K.G. SHIVAPPA,INC,1993,,,,,,,,,,,
TUMKUR,Karnataka, S. MALLIKARJUNAIAH,BJP,1993,,,,,,,,,,,
UDUPI,Karnataka, OSCAR FERNANDES,INC,1993,,,,,,,,,,,
ADOOR (SC),Kerala, KODIKUNNIL SURESH,INC,1993,,,,,,,,,,,
ALLEPPEY,Kerala, T.J. ANJALOSE,CPM,1993,,,,,,,,,,,
BADAGARA,Kerala, UNNIKRISHNAN K.P. (SCS),ICS(SCS),1993,,,,,,,,,,,
CALICUT,Kerala, K. MURALEEDHARAN,INC,1993,,,,,,,,,,,
CANNANORE,Kerala, MULLAPPALLY RAMACHANDRAN,INC,1993,,,,,,,,,,,
CHIRAYINKIL,Kerala, SUSEELA GOPALAN (W),CPM,1993,,,,,,,,,,,
ERNAKULAM,Kerala, K.V. THOMAS,INC,1993,,,,,,,,,,,
IDUKKI,Kerala, PALAI K.M. MATHEW,INC,1993,,,,,,,,,,,
KASARAGOD ,Kerala,M. RAMANNA RAI M,CP,1993,,,,,,,,,,,
KOTTAYAM,Kerala, RAMESH CHENNITHALA,INC,1993,,,,,,,,,,,
MANJERI,Kerala, E. AHAMED,MUL,1993,,,,,,,,,,,
MAVELIKARA,Kerala, P.J. KURIAN,INC,1993,,,,,,,,,,,
MUKUNDAPURAM,Kerala, SAVITHRI LAKSHMANAN (W),INC,1993,,,,,,,,,,,
MUVATTUPUZHA,Kerala, P.C. THOMAS,KCM,1993,,,,,,,,,,,
OTTAPALAM (SC),Kerala,S. SIVARARAMAN,CPM,1993,,,,,,,,,,,
PALGHAT,Kerala, V.S. VIJAYARAGHAVAN,INC,1993,,,,,,,,,,,
PONNANI,Kerala, EBRAHIM SULAIMAN SAIT,MUL,1993,,,,,,,,,,,
QUILON,Kerala, S. KRISHNA KUMAR,INC,1993,,,,,,,,,,,
TRICHUR,Kerala, P.C. CHACKO,INC,1993,,,,,,,,,,,
TRIVANDRUM ,Kerala,A. CHARLES,INC,1993,,,,,,,,,,,
BALAGHAT,Madhya Pradesh, VISHVESHWAR BHAGAT,INC,1993,,,,,,,,,,,
BASTAR (ST),Madhya Pradesh, MANKURAM SODHI,INC,1993,,,,,,,,,,,
BETUL,Madhya Pradesh, ASLAM-SHER-KHAN,INC,1993,,,,,,,,,,,
BHIND,Madhya Pradesh, YOGANAND SARASWATI,BJP,1993,,,,,,,,,,,
BHOPAL,Madhya Pradesh, SUSHIL CHANDRA VERMA,BJP,1993,,,,,,,,,,,
BILASPUR (SC),Madhya Pradesh, KHELAN RAM JANGDE,INC,1993,,,,,,,,,,,
CHHINDWARA,Madhya Pradesh, KAMAL NATH,INC,1993,,,,,,,,,,,
DAMOH,Madhya Pradesh, RAMKRISHNA KUSMARIA,BJP,1993,,,,,,,,,,,
DHAR (ST),Madhya Pradesh, SURAJBHANU SOLANKI,INC,1993,,,,,,,,,,,
DURG,Madhya Pradesh, CHANDULAL CHANDRAKAR,INC,1993,,,,,,,,,,,
GUNA,Madhya Pradesh, VIJAYA RAJE SCINDIA (W),BJP,1993,,,,,,,,,,,
GWALIOR,Madhya Pradesh, MADHAV RAO SCINDIA,INC,1993,,,,,,,,,,,
HOSHANGABAD,Madhya Pradesh, SARTAJ SINGH,BJP,1993,,,,,,,,,,,
INDORE,Madhya Pradesh, SUMITRA MAHAJAN (W),BJP,1993,,,,,,,,,,,
JABALPUR,Madhya Pradesh, SHRAWAN KUMAR PATEL,INC,1993,,,,,,,,,,,
JANJGIR,Madhya Pradesh, BHAWANI LAL VERMA,INC,1993,,,,,,,,,,,
JHABUA (ST),Madhya Pradesh, DILEEPSINGH BHURIA,INC,1993,,,,,,,,,,,
KANKER (ST),Madhya Pradesh, ARWIND NETAM,INC,1993,,,,,,,,,,,
KHAJURAHO ,Madhya Pradesh,UMA BHARTI (W) ,BJP,1993,,,,,,,,,,,
KHANDWA,Madhya Pradesh, MAHENDER KUMAR SINGH,INC,1993,,,,,,,,,,,
KHARGONE,Madhya Pradesh, RAMESHWAR PATIDAR,BJP,1993,,,,,,,,,,,
MAHASAMUND,Madhya Pradesh, PAWAN DIWAN,INC,1993,,,,,,,,,,,
MANDLA (ST),Madhya Pradesh, MOHAN LAL,INC,1993,,,,,,,,,,,
MANDSAUR ,Madhya Pradesh,LAXMINARAIN PANDEY ,BJP,1993,,,,,,,,,,,
MORENA (SC) ,Madhya Pradesh,BARELAL JATAV ,INC,1993,,,,,,,,,,,
RAIGARH (ST),Madhya Pradesh, PUSHPADEVI SINGH (W),INC,1993,,,,,,,,,,,
RAIPUR,Madhya Pradesh, VIDYACHARAN SHUKLA,INC,1993,,,,,,,,,,,
RAJGARH,Madhya Pradesh, DIGVIJAY SINGH,INC,1993,,,,,,,,,,,
RAJNANDGAON,Madhya Pradesh, SHIVENDRA BAHADUR SINGH,INC,1993,,,,,,,,,,,
REWA,Madhya Pradesh, BHEEM SINGH PATEL,BSP,1993,,,,,,,,,,,
SAGAR (SC),Madhya Pradesh, ANAND AHIRWAR,INC,1993,,,,,,,,,,,
SARANGARH (SC),Madhya Pradesh, PARAS RAM BHARADWAJ,INC,1993,,,,,,,,,,,
SATNA,Madhya Pradesh, ARJUN SINGH,INC,1993,,,,,,,,,,,
SEONI,Madhya Pradesh, VIMLA VERMA (W),INC,1993,,,,,,,,,,,
SHAHDOL (ST),Madhya Pradesh, DALBIR SINGH,INC,1993,,,,,,,,,,,
SHAJAPUR (SC),Madhya Pradesh, PHOOLCHAND VERMA,BJP,1993,,,,,,,,,,,
SIDHI (ST),Madhya Pradesh, MOTILAL SINGH,INC,1993,,,,,,,,,,,
SURGUJA (ST),Madhya Pradesh, KHELSAI SINGH,INC,1993,,,,,,,,,,,
UJJAIN (SC),Madhya Pradesh, SATYANARAYAN JATIYA,BJP,1993,,,,,,,,,,,
VIDISHA,Madhya Pradesh,S.SINGH,BJP,1993,,,,,,,,,,,
AHMEDNAGAR,Maharashtra, GADAKH YESHAWANTRAO,INC,1993,,,,,,,,,,,
AKOLA,Maharashtra, FUNDKAR PANDURANG PUNDLIK,BJP,1993,,,,,,,,,,,
AMRAVATI,Maharashtra, PRATIBHA DEVISINHA PATIL (W),INC,1993,,,,,,,,,,,
AURANGABAD,Maharashtra, MORESHWAR SAVE,SHS,1993,,,,,,,,,,,
BARAMATI,Maharashtra,P. S. C. GOVINDRAO,INC,1993,,,,,,,,,,,
BEED,Maharashtra,KSHIRSAGAR KESHARBAI SONAJIRAO ALIAS KAKU (W),INC,1993,,,,,,,,,,,
BHANDARA,Maharashtra, PRAFUL MANOHAR BHAI PATEL,INC,1993,,,,,,,,,,,
BOMBAY NORTH ,Maharashtra,RAM NAIK ,BJP,1993,,,,,,,,,,,
BOMBAY NORTH CENTRAL ,Maharashtra,DIGHE SHARAD SHANKAR ,INC,1993,,,,,,,,,,,
BOMBAY NORTH EAST ,Maharashtra,GURADAS KAMAT ,INC,1993,,,,,,,,,,,
BOMBAY NORTH WEST ,Maharashtra,SUNIL DUTT, INC,1993,,,,,,,,,,,
BOMBAY SOUTH,Maharashtra, DEORA MURLI,INC,1993,,,,,,,,,,,
BOMBAY SOUTH CENTRAL ,Maharashtra,MOHAN RAWALE ,SHS,1993,,,,,,,,,,,
BULDHANA (SC),Maharashtra, WASNIK MUKUL BALKRISHNA,INC,1993,,,,,,,,,,,
CHANDRAPUR,Maharashtra, POTDUKHE SHANTARAM,INC,1993,,,,,,,,,,,
CHIMUR,Maharashtra, MUTTEMWAR VILAS BABURAO,INC,1993,,,,,,,,,,,
DAHANU (ST),Maharashtra, DAMU BARKU SHINGDA,INC,1993,,,,,,,,,,,
DHULE,Maharashtra, (ST) CHAURE BAPU HARI,INC,1993,,,,,,,,,,,
ERANDOL,Maharashtra, PATIL VIJAY NAVAL,INC,1993,,,,,,,,,,,
HINGOLI,Maharashtra, GUNDEWAR VILASRAO NAGNATHRAO,SHS,1993,,,,,,,,,,,
ICHALKARANJI,Maharashtra, MANE BALASO ALIAS RAJARAM SHANKARRAO,INC,1993,,,,,,,,,,,
JALGAON,Maharashtra, GUNAVANT RAMBHAU SARODA,BJP,1993,,,,,,,,,,,
JALNA,Maharashtra, ANKUSHRAO TOPE,INC,1993,,,,,,,,,,,
KARAD,Maharashtra, CHAVAN PRITHVIRAJ DAJISHAHEB,INC,1993,,,,,,,,,,,
KHED,Maharashtra, NAVALE VIDURA VITHOBA,INC,1993,,,,,,,,,,,
KOLABA,Maharashtra, A.R. ANTULAY,INC,1993,,,,,,,,,,,
KOLHAPUR ,Maharashtra,GAIKWAD UDAYSINGRAO NANASAHEB ,INC,1993,,,,,,,,,,,
KOPARGAON,Maharashtra, KALE SHANKARRAO DEORAM,INC,1993,,,,,,,,,,,
LATUR ,Maharashtra,PATIL SHIVRAJ VISHWANATH ,INC,1993,,,,,,,,,,,
MALEGAON (ST),Maharashtra, KAHANDOLE ZAMRU MANGLU,INC,1993,,,,,,,,,,,
NAGPUR,Maharashtra, MEGHE DATTAJI RAGHOBAJI,INC,1993,,,,,,,,,,,
NANDED,Maharashtra, SURYAKANTS PATIL (W),INC,1993,,,,,,,,,,,
NANDURBAR (ST),Maharashtra, GAVIT MANIKRAO HODALYA,INC,1993,,,,,,,,,,,
NASHIK,Maharashtra, PAWAR VASANT NIWRUTTI,INC,1993,,,,,,,,,,,
OSMANABAD (SC),Maharashtra, KAMBLE ARVIND TULSHIRAM,INC,1993,,,,,,,,,,,
PANDHARPUR (SC),Maharashtra, THORAT SANDIPAN BHAGWAN,INC,1993,,,,,,,,,,,
PARBHANI,Maharashtra, DESHMUKH ASHOKRAO ANANDRAO,SHS,1993,,,,,,,,,,,
PUNE,Maharashtra, ANNA JOSHI,BJP,1993,,,,,,,,,,,
RAJAPUR ,Maharashtra,SUDHIR SAWANT ,INC,1993,,,,,,,,,,,
RAMTEK,Maharashtra, BHONSLE TEJSINGHARAO LAXMANRAO,INC,1993,,,,,,,,,,,
RATNAGIRI,Maharashtra, GOVINDRAM NIKAM,INC,1993,,,,,,,,,,,
SANGLI,Maharashtra, PATIL PRAKASHBAPU VASANTRAO,INC,1993,,,,,,,,,,,
SATARA,Maharashtra, BHOSALE PRATAPRAO BABURAO,INC,1993,,,,,,,,,,,
SHOLAPUR,Maharashtra, SADUL DHARMANNA MONDAYYA,INC,1993,,,,,,,,,,,
THANE,Maharashtra, KAPSE RAMCHANDRA GANESH,BJP,1993,,,,,,,,,,,
WARDHA,Maharashtra, GHANGARE RAMCHANDRA MAROTRAO,CPM,1993,,,,,,,,,,,
WASHIM,Maharashtra, ANANTRAO VITTHALRAO DESHMUKH,INC,1993,,,,,,,,,,,
YAVATMAL,Maharashtra, UTTAMRAO DEORAO PATIL,INC,1993,,,,,,,,,,,
ASKA,Orissa, RAMACHANDRA RATH,INC,1993,,,,,,,,,,,
BALASORE,Orissa, KARTIKESWAR PATRA,INC,1993,,,,,,,,,,,
BERHAMPUR,Orissa, GOPINATH GAJAPATHI NARYANDEO,INC,1993,,,,,,,,,,,
BHADRAK (SC),Orissa, ARJUN CHARAN SETHI,JD,1993,,,,,,,,,,,
BHUBANESWAR,Orissa, SHIVAJI PATNAIK,CPM,1993,,,,,,,,,,,
BOLANGIR,Orissa, SARAT CHANDRA PATTANAYAK,INC,1993,,,,,,,,,,,
CUTTACK,Orissa, SRIKANTA JENA,JD,1993,,,,,,,,,,,
DEOGARH,Orissa, SRIBALLAV PANIGRAHI,INC,1993,,,,,,,,,,,
DHENKANAL ,Orissa,RAJA KAMAKHYA PRASAD SINGHDEO MAHINDR BAHADUR ,INC,1993,,,,,,,,,,,
JAGATSINGHPUR,Orissa, LOKNATH CHOUDHURY,CPI,1993,,,,,,,,,,,
JAJPUR (SC),Orissa, ANADI CHARAN DAS,JD,1993,,,,,,,,,,,
KALAHANDI,Orissa, SUBASH CHANDRA NAYAK,INC,1993,,,,,,,,,,,
KENDRAPARA,Orissa, RABI RAY,JD,1993,,,,,,,,,,,
KEONJHAR (ST) ,Orissa,GOVINDA CHANDRA MUNDA ,JD,1993,,,,,,,,,,,
KORAPUT (ST),Orissa, GIRIDHAR GOMANGO,INC,1993,,,,,,,,,,,
MAYURBHANJ (ST) ,Orissa,BHAGEY GOBARDHAN ,INC,1993,,,,,,,,,,,
NOWRANGPUR (ST),Orissa, KHAGAPATI PRADHANI,INC,1993,,,,,,,,,,,
PHULBANI (SC),Orissa, MRUTYUNJAYA NAYAK,INC,1993,,,,,,,,,,,
PURI,Orissa, BRAJA KISHORE TRIPATHY,JD,1993,,,,,,,,,,,
SAMBALPUR,Orissa, KRUPASINDHU BHOI,INC,1993,,,,,,,,,,,
SUNDARGARH (ST) ,Orissa,FRIDA TOPNO (W) ,INC,1993,,,,,,,,,,,
AMRITSAR,Punjab, RAGHUNANDAN LAL BHATIA,INC,1993,,,,,,,,,,,
BHATINDA (SC),Punjab, KEWAL SINGH,INC,1993,,,,,,,,,,,
FARIDKOT,Punjab, JAGMEET SINGH,INC,1993,,,,,,,,,,,
FEROZEPUR,Punjab, MOHAN SINGH S/O KANSHA SINGH,BSP,1993,,,,,,,,,,,
GURDASPUR,Punjab,SUKHBUNS KAUR (W),INC,1993,,,,,,,,,,,
HOSHIARPUR,Punjab, KAMAL CHAUDHARY,INC,1993,,,,,,,,,,,
JULLUNDUR,Punjab,UMRAO SINGH,INC,1993,,,,,,,,,,,
LUDHIANA,Punjab, GURCHARAN SINGH GALIB,INC,1993,,,,,,,,,,,
PATIALA,Punjab, SANT RAM SINGLA,INC,1993,,,,,,,,,,,
PHILLAUR (SC),Punjab, SANTOSH CHAUDHARY (W),INC,1993,,,,,,,,,,,
ROPAR,Punjab, (SC) HARCHAND SINGH,INC,1993,,,,,,,,,,,
SANGRUR,Punjab, GURCHARAN SINGH DADAHOOR,INC,1993,,,,,,,,,,,
TARN TARAN,Punjab, SURINDER SINGH KAIRON,INC,1993,,,,,,,,,,,
AJMER,Rajasthan, RASA SINGH RAWAT,BJP,1993,,,,,,,,,,,
ALWAR,Rajasthan, MAHENDRA KUMARI (W),BJP,1993,,,,,,,,,,,
BANSWARA (ST),Rajasthan, PRABHULAL RAWAT,INC,1993,,,,,,,,,,,
BARMER,Rajasthan, RAM NIWAS MIRDHA,INC,1993,,,,,,,,,,,
BAYANA (SC),Rajasthan, GANGARAM KOLI,BJP,1993,,,,,,,,,,,
BHARATPUR,Rajasthan, KRASHENDER KAUR (DEEPA) (W),BJP,1993,,,,,,,,,,,
BHILWARA,Rajasthan, SHIV CHARAN MATHUR,INC,1993,,,,,,,,,,,
BIKANER,Rajasthan, MANPHOOL,INC,1993,,,,,,,,,,,
CHITTORGARH,Rajasthan, JASWANT SINGH,BJP,1993,,,,,,,,,,,
CHURU,Rajasthan, RAM SINGH,BJP,1993,,,,,,,,,,,
DAUSA,Rajasthan, RAJESH PILOT,INC,1993,,,,,,,,,,,
GANGANAGAR (SC) ,Rajasthan,BIRBAL RAM ,INC,1993,,,,,,,,,,,
JAIPUR,Rajasthan, GIRDHARI LAL BHARGAVA,BJP,1993,,,,,,,,,,,
JALORE (SC),Rajasthan, BUTA SINGH,INC,1993,,,,,,,,,,,
JHALAWAR,Rajasthan, VASUNDHARA RAJE (W),BJP,1993,,,,,,,,,,,
JHUNJHUNU,Rajasthan, AYUB KHAN,INC,1993,,,,,,,,,,,
JODHPUR,Rajasthan, ASHOK GEHLOT,INC,1993,,,,,,,,,,,
KOTA ,Rajasthan,DAU DAYAL JOSHI ,BJP,1993,,,,,,,,,,,
NAGAUR ,Rajasthan,NATHURAM MIRDHA ,INC,1993,,,,,,,,,,,
PALI,Rajasthan, GUMANMAL LODHA,BJP,1993,,,,,,,,,,,
SALUMBER (ST),Rajasthan, BHERU LAL MEENA,INC,1993,,,,,,,,,,,
SAWAI MADHOPUR (ST) ,Rajasthan,KUNJILAL ,BJP,1993,,,,,,,,,,,
SIKAR,Rajasthan, BALRAM,INC,1993,,,,,,,,,,,
TONK (SC),Rajasthan, RAM NARAIN BERWA,BJP,1993,,,,,,,,,,,
UDAIPUR,Rajasthan, GIRJA VYAS (W),INC,1993,,,,,,,,,,,
ARAKKONAM,Tamil Nadu, JEEVARATHINAM R.,INC,1993,,,,,,,,,,,
CHENGALPATTU,Tamil Nadu, RAJEMDRA KUMAR S.S.R.,ADK,1993,,,,,,,,,,,
CHIDAMBARAM (SC),Tamil Nadu, VALLALPERUMAN P.,INC,1993,,,,,,,,,,,
COIMBATORE,Tamil Nadu, KUPPUSWAMY C.K.,INC,1993,,,,,,,,,,,
CUDDALORE,Tamil Nadu, KALIAPERUMAL P.P.,INC,1993,,,,,,,,,,,
DHARMAPURI,Tamil Nadu, THANGKA BALU K.V.,INC,1993,,,,,,,,,,,
DINDIGUL,Tamil Nadu, C. SRINIVASAN,ADK,1993,,,,,,,,,,,
GOBICHETTIPALAYAM,Tamil Nadu, NARAYANAN P.G.,ADK,1993,,,,,,,,,,,
KARUR,Tamil Nadu, MURUGESAN N.,ADK,1993,,,,,,,,,,,
KRISHNAGIRI,Tamil Nadu, RAMA MURTHY K.,INC,1993,,,,,,,,,,,
MADRAS CENTRAL,Tamil Nadu, ANBARASU ERA,INC,1993,,,,,,,,,,,
MADRAS NORTH  ,Tamil Nadu,D. PANDIAN,INC,1993,,,,,,,,,,,
MADRAS SOUTH,Tamil Nadu, R. SRIDHARAN,ADK,1993,,,,,,,,,,,
MADURAI,Tamil Nadu, RAM BABU A.G.S.,INC,1993,,,,,,,,,,,
MAYILADUTURAI,Tamil Nadu, MANI SHANKAR AIYAR,INC,1993,,,,,,,,,,,
NAGAPATTINAM (SC) ,Tamil Nadu,PADMA (W),INC,1993,,,,,,,,,,,
NAGERCOIL ,Tamil Nadu,N. DENNIS,INC,1993,,,,,,,,,,,
NILGIRIS,Tamil Nadu, PRABHU R.,INC,1993,,,,,,,,,,,
PALANI,Tamil Nadu,PALANIYAPPA GOUNDER KUMARASAMY,ADK,1993,,,,,,,,,,,
PERAMBALUR (SC),Tamil Nadu, ASOKRAJ A.,ADK,1993,,,,,,,,,,,
PERIYAKULAM,Tamil Nadu, R. RAMASAMY,ADK,1993,,,,,,,,,,,
POLLACHI (SC),Tamil Nadu, RAJARAVIVARMA B.,ADK,1993,,,,,,,,,,,
PUDUKKOTTAI,Tamil Nadu, SUNDARARAJ N.,INC,1993,,,,,,,,,,,
RAMANATHAPURAM,Tamil Nadu, RAJESHWARAN V.,INC,1993,,,,,,,,,,,
RASIPURAM (SC),Tamil Nadu, DEVARAJAN B.,INC,1993,,,,,,,,,,,
SALEM,Tamil Nadu, RANGARAJANM KUMARAMANGALAM,INC,1993,,,,,,,,,,,
SIVAGANGA,Tamil Nadu, CHINDAMBARAM P.,INC,1993,,,,,,,,,,,
SIVAKASI,Tamil Nadu, KANGA GOVINDARAJULU R.,ADK,1993,,,,,,,,,,,
SRIPERUMBUDUR (SC),Tamil Nadu, MARAGATHAM CHANDRASEKAR (W),INC,1993,,,,,,,,,,,
TENKASI (SC),Tamil Nadu, ARUNACHALAM M.,INC,1993,,,,,,,,,,,
THANJAVUR,Tamil Nadu, THULASIAH VANDAYAR K.,INC,1993,,,,,,,,,,,
TINDIVANAM,Tamil Nadu, RAMA MURTHEE K.,INC,1993,,,,,,,,,,,
TIRUCHENDUR,Tamil Nadu, DHANUSHKODI ATHINTHAN R.,INC,1993,,,,,,,,,,,
TIRUCHENGODE,Tamil Nadu, SOUNDARAM K.S. (W),ADK,1993,,,,,,,,,,,
TIRUCHIRAPPALLI,Tamil Nadu, L. ADAIKALA RAJ,INC,1993,,,,,,,,,,,
TIRUNELVELI,Tamil Nadu, JANARTHANAN M.R.,ADK,1993,,,,,,,,,,,
TIRUPPATTUR,Tamil Nadu, JAYA MOHAN A.,INC,1993,,,,,,,,,,,
VANDAVASI,Tamil Nadu, KRISHNASWAMY M.,INC,1993,,,,,,,,,,,
VELLORE,Tamil Nadu, AKBER PASHA B.,INC,1993,,,,,,,,,,,
AGRA,Uttar Pradesh, BHAGWAN SHANKER RAWAT,BJP,1993,,,,,,,,,,,
AKBARPUR (SC),Uttar Pradesh, RAM AWADH,JD,1993,,,,,,,,,,,
ALIGARH ,Uttar Pradesh,SHILA DEVI GAUTAM (W) ,BJP,1993,,,,,,,,,,,
ALLAHABAD,Uttar Pradesh, SAROJ DUBEY (W),JD,1993,,,,,,,,,,,
ALMORA,Uttar Pradesh, JEEWAN,BJP,1993,,,,,,,,,,,
AMETHI,Uttar Pradesh,C.S.K. SHARMA,INC,1993,,,,,,,,,,,
AMROHA,Uttar Pradesh, CHETAN CHAUHAN,BJP,1993,,,,,,,,,,,
AONLA,Uttar Pradesh, RAJVEER SINGH,BJP,1993,,,,,,,,,,,
AZAMGARH,Uttar Pradesh, CHANDRA JEET,JD,1993,,,,,,,,,,,
BAGHPAT,Uttar Pradesh, AJIT SINGH,JD,1993,,,,,,,,,,,
BAHRAICH ,Uttar Pradesh,RUDRASEN CHOUDHARY ,BJP,1993,,,,,,,,,,,
BALLIA,Uttar Pradesh, CHANDRA SHEKHAR,JP,1993,,,,,,,,,,,
BALRAMPUR,Uttar Pradesh, SATYA DEO SINGH,BJP,1993,,,,,,,,,,,
BANDA,Uttar Pradesh, PRAKASH NARAIN,BJP,1993,,,,,,,,,,,
BANSGAON (SC),Uttar Pradesh, RAJ NARAIYAN,BJP,1993,,,,,,,,,,,
BARA BANKI (SC) ,Uttar Pradesh,RAM SAGAR ,JP,1993,,,,,,,,,,,
BAREILLY,Uttar Pradesh, SANTOSH KUMAR GANGWAR,BJP,1993,,,,,,,,,,,
BASTI (SC),Uttar Pradesh, SHYAM LAL KAMAL,BJP,1993,,,,,,,,,,,
BIJNOR (SC),Uttar Pradesh, MANGAL RAM PREMI,BJP,1993,,,,,,,,,,,
BILHAUR,Uttar Pradesh, SHYAM BIHARI MISHRA,BJP,1993,,,,,,,,,,,
BUDAUN,Uttar Pradesh, CHINMAYA NAND,BJP,1993,,,,,,,,,,,
BULANDSHAHR,Uttar Pradesh, CHHATTERPAL,BJP,1993,,,,,,,,,,,
CHAIL,Uttar Pradesh, (SC) SHASHI PRAKASH,JD,1993,,,,,,,,,,,
CHANDAULI,Uttar Pradesh, ANAND RATAN MOURYA,BJP,1993,,,,,,,,,,,
DEORIA,Uttar Pradesh, MOHAN SINGH,JD,1993,,,,,,,,,,,
DOMARIAGANJ,Uttar Pradesh, RAMPAL SINGH,BJP,1993,,,,,,,,,,,
ETAH,Uttar Pradesh, MAHADEEPAK SINGH,BJP,1993,,,,,,,,,,,
ETAWAH,Uttar Pradesh, KANSHI RAM,BSP,1993,,,,,,,,,,,
FAIZABAD,Uttar Pradesh, VINAYA KATIYAR,BJP,1993,,,,,,,,,,,
FARRUKHABAD,Uttar Pradesh, SALMAN KHURSEED,INC,1993,,,,,,,,,,,
FATEHPUR,Uttar Pradesh, VISHWA NATH PRATAP SINGH,JD,1993,,,,,,,,,,,
FIROZABAD (SC),Uttar Pradesh, PRABHU DAYAL KATHERIA,BJP,1993,,,,,,,,,,,
GARHWAL,Uttar Pradesh, BHUWAN CHAND,BJP,1993,,,,,,,,,,,
GHATAMPUR (SC),Uttar Pradesh, KESHARI LAL,JD,1993,,,,,,,,,,,
GHAZIPUR,Uttar Pradesh, BISHVA NATH SHASTRI,CPI,1993,,,,,,,,,,,
GHOSI,Uttar Pradesh, KALP NATH,INC,1993,,,,,,,,,,,
GONDA,Uttar Pradesh, BRIJ BHUSAN SARAN SINGH,BJP,1993,,,,,,,,,,,
GORAKHPUR,Uttar Pradesh, AWAIDYA NATH,BJP,1993,,,,,,,,,,,
HAMIRPUR,Uttar Pradesh, VISHWANATH SHARMA,BJP,1993,,,,,,,,,,,
HAPUR,Uttar Pradesh, RAMESH CHANDRA TOMER,BJP,1993,,,,,,,,,,,
HARDOI (SC),Uttar Pradesh, JAI PRAKASH,BJP,1993,,,,,,,,,,,
HARDWAR (SC) ,Uttar Pradesh,RAM SINGH ,BJP,1993,,,,,,,,,,,
HATHRAS (SC),Uttar Pradesh, LAL BAHADUR RAWAL,BJP,1993,,,,,,,,,,,
JALAUN (SC),Uttar Pradesh, GAYA PRASAD KORI,BJP,1993,,,,,,,,,,,
JALESAR,Uttar Pradesh, SWAMY SURESHNAND,BJP,1993,,,,,,,,,,,
JAUNPUR,Uttar Pradesh, ARJUN SINGH YADAVA,JD,1993,,,,,,,,,,,
JHANSI,Uttar Pradesh, RAJENDRA AGNIHOTRI,BJP,1993,,,,,,,,,,,
KAIRANA,Uttar Pradesh, HARPAL,JD,1993,,,,,,,,,,,
KAISERGANJ,Uttar Pradesh, LAXMI NARAIN MANI TRIPATHI,BJP,1993,,,,,,,,,,,
KANNAUJ,Uttar Pradesh, CHHOTE SINGH YADAV,JP,1993,,,,,,,,,,,
KANPUR,Uttar Pradesh, JAGATVEER SINGH BRON,BJP,1993,,,,,,,,,,,
KHALILABAD,Uttar Pradesh, ASHT BHUJA PRASAD SHUKLA,BJP,1993,,,,,,,,,,,
KHERI,Uttar Pradesh, GENDAN LAL KANAUJIA,BJP,1993,,,,,,,,,,,
KHURJA (SC),Uttar Pradesh, ROSHAN,JD,1993,,,,,,,,,,,
LALGANJ (SC),Uttar Pradesh, RAM BADAN,JD,1993,,,,,,,,,,,
LUCKNOW,Uttar Pradesh, ATAL BEHARI BAJPAI,BJP,1993,,,,,,,,,,,
MACHHLISHAHR,Uttar Pradesh, SHEO SARAN VERMA,JD,1993,,,,,,,,,,,
MAHARAJGANJ,Uttar Pradesh, PANKAJ CHOUDHARI,BJP,1993,,,,,,,,,,,
MAINPURI,Uttar Pradesh, UDAI PRATAP SINGH,JP,1993,,,,,,,,,,,
MATHURA,Uttar Pradesh, SWAMI SAKSHI JI,BJP,1993,,,,,,,,,,,
MIRZAPUR,Uttar Pradesh, BIRENDRA,BJP,1993,,,,,,,,,,,
MISRIKH (SC),Uttar Pradesh, RAM LAL RAHI,INC,1993,,,,,,,,,,,
MOHANLALGANJ (SC),Uttar Pradesh, CHHOTEY LAL,BJP,1993,,,,,,,,,,,
MORADABAD,Uttar Pradesh, GULAM MOHAMMED KHAN,JD,1993,,,,,,,,,,,
MUZAFFARNAGAR,Uttar Pradesh, NARESH KUMAR BALIYAN,BJP,1993,,,,,,,,,,,
NAINITAL,Uttar Pradesh, BALRAJ PASI,BJP,1993,,,,,,,,,,,
PADRAUNA,Uttar Pradesh, RAMNAGINA MISHRA,BJP,1993,,,,,,,,,,,
PHULPUR,Uttar Pradesh, RAM PUJAN PATEL,JD,1993,,,,,,,,,,,
PILIBHIT,Uttar Pradesh, PARASHURAM,BJP,1993,,,,,,,,,,,
PRATAPGARH,Uttar Pradesh, ABHAI PRATAP SINGH,JD,1993,,,,,,,,,,,
RAE BARELI,Uttar Pradesh, SHEILA KAUL (W),INC,1993,,,,,,,,,,,
RAMPUR,Uttar Pradesh, RAJENDRA KUMAR SHARMA,BJP,1993,,,,,,,,,,,
ROBERTSGANJ (SC),Uttar Pradesh, RAM NIHORE,JD,1993,,,,,,,,,,,
SAHARANPUR,Uttar Pradesh, RASHED MASOOD,JD,1993,,,,,,,,,,,
SAIDPUR (SC),Uttar Pradesh, RAJNATH SONKAR SHASTRI,JD,1993,,,,,,,,,,,
SALEMPUR,Uttar Pradesh, HARIKEWAL,JD,1993,,,,,,,,,,,
